"id","name","host_id","host_name","latitude","longitude","room_type","price","minimum_nights","number_of_reviews","last_review","reviews_per_month","calculated_host_listings_count","availability_365","number_of_reviews_ltm","license"
665622,"Cozy Central Loft -Walkable to Everything - 2BR",3364096,"Becky",39.7616,-105.01235,"Entire home/apt",112,29,859,"2024-03-16",5.96,2,58,3,""
676825,"Beautiful Home in Charming Location",3440535,"Krista",39.75706,-104.88374,"Entire home/apt",200,4,221,"2024-06-27",1.54,1,83,28,"2016-BFN-0007545"
715123,"Neighborhood Gem! Stylish Platt Park Bungalow",3654159,"Dave & Lisa",39.69381,-104.98364,"Entire home/apt",148,3,122,"2024-06-17",3,1,24,26,"2021-BFN-0000478"
732845,"RiNo Breweries, Food, Music & Art just steps away!",3816358,"John",39.759,-104.98106,"Entire home/apt",556,2,193,"2024-05-28",1.36,1,221,17,"2017-BFN-0000827"
746298,"Urban Retreat with Private Bath",3915386,"Mary",39.72535,-104.89616,"Private room",NA,30,91,"2024-06-10",0.81,1,14,4,"2016-BFN-0008025"
756594,"Private lower level 2 bedroom suite",3638426,"Ling & Chris",39.74027,-104.91516,"Entire home/apt",78,2,413,"2024-06-19",2.98,1,304,32,"2016-BFN-0008363"
774712,"ZEN! Location! Cute,Quiet,nosmoking,CLEAN!",4087056,"Jeanne",39.74245,-104.9681,"Entire home/apt",59,29,38,"2023-03-11",0.27,6,324,0,""
776434,"Super-comfortable Modern Home 3 Bdr -Platt Park DU",3344763,"Steve",39.68403,-104.98296,"Entire home/apt",233,3,109,"2024-06-17",0.78,3,248,5,"2023-BFN-0012138"
915016,"Cozy Capitol Hill Accommodation",4911774,"Tim And Cindy",39.73572,-104.97783,"Entire home/apt",87,30,330,"2024-06-16",2.45,1,267,4,"2020-BFN-0000493"
921485,"Stylish & Historic LoHi Loft w/ Views and Parking",3378084,"Alexandra",39.75838,-105.01479,"Entire home/apt",110,29,69,"2022-12-09",0.5,2,203,0,""
953052,"Congress Park Cottage",5173501,"Steve",39.7325,-104.94919,"Entire home/apt",100,30,3,"2023-06-18",0.03,1,365,0,""
958612,"DENVER SUITE MOUNTAIN VIEW GREAT LOCATION",5216325,"Julia",39.74646,-104.99688,"Entire home/apt",105,30,12,"2022-06-02",0.1,4,333,0,""
1041934,"Private apt in Berkeley, MTN Views!",5811115,"Annette",39.78027,-105.03808,"Entire home/apt",165,30,39,"2024-01-31",0.29,5,220,2,""
1042331,"Beautiful Apt in Berkeley/Highlands",5811115,"Annette",39.77983,-105.03936,"Entire home/apt",145,30,51,"2024-06-10",0.37,5,208,2,""
1069351,"Historic Denver Bungalow- 30+ day rentals only",3577356,"Bonnie",39.77389,-105.0106,"Entire home/apt",100,30,5,"2018-11-17",0.04,1,333,0,""
1082572,"Available Now! Private Yard & Parking. Dogs OK.",879998,"Wade",39.71466,-104.99192,"Entire home/apt",NA,30,48,"2024-05-01",0.37,4,0,2,""
1087609,"Private Denver condo near Capitol",5124037,"Darja",39.73442,-104.98344,"Entire home/apt",86,29,23,"2023-12-15",0.17,3,333,2,""
1220547,"Sunny Southwest Exposure! Brooks Tower One-Bed 5A",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",80,30,3,"2021-08-31",0.02,19,29,0,""
1223593,"Sweet and sunny in Capitol Hill",6674631,"Cynthia",39.73704,-104.96965,"Private room",60,29,161,"2024-05-14",1.23,3,319,1,""
1223612,"Suite of rooms in Capitol Hill",6674631,"Cynthia",39.73165,-104.97057,"Private room",58,29,187,"2023-10-31",1.39,3,311,2,""
1279362,"City Living! Brooks Tower 5M",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",50,30,11,"2023-08-19",0.08,19,32,1,""
1279576,"2x2 w/Private Balcony! Brooks Tower 5J",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",98,30,6,"2023-08-11",0.04,19,29,1,""
1288109,"Downtown Studio w/Great Location: Brooks Tower 4M",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",58,30,6,"2021-07-31",0.05,19,29,0,""
1288126,"Spacious Studio! Brooks Tower 6B",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",58,30,9,"2021-03-22",0.07,19,29,0,""
1309159,"Logan Square Studio APT #3 - w/clawfoot tub",1001851,"Joe",39.734440820662,-104.983770350831,"Entire home/apt",65,30,56,"2021-09-05",0.42,3,271,0,""
1311993,"Downtown Apt - Clean & Convenient! Brooks Tower 5I",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",89,30,11,"2023-07-15",0.08,19,29,1,""
1313699,"Platt Park Urban Getaway: entire house, families!",7138728,"Ann",39.68332,-104.97382,"Entire home/apt",NA,29,28,"2023-07-31",0.21,1,10,3,"2021-BFN-0003953"
1315790,"Downtown 2x2 w/sunny exposure! Brooks Tower 6L",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",98,30,13,"2021-08-02",0.1,19,29,0,""
1327856,"Downtown Oasis with GREAT Outdoor Rooftop!",7206373,"Leila And Alex",39.73484,-104.98193,"Entire home/apt",NA,2,182,"2024-03-03",1.38,1,1,6,"2016-BFN-0007176"
1337012,"Logan Square APT #1 - 2 BR / 1.5 BA w/small shower",1001851,"Joe",39.73563,-104.98197,"Entire home/apt",90,30,21,"2018-10-07",0.16,3,329,0,""
1339536,"Downtown Apt w/Private Balcony! Brooks Tower 6N",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",65,30,7,"2023-06-30",0.07,19,29,0,""
1339557,"Fully furnished - Urban Living - Brooks Tower 6D",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",68,30,9,"2023-08-12",0.07,19,34,1,""
1397309,"Private balcony! Brooks Tower 6A",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",68,30,7,"2023-09-19",0.05,19,32,2,""
1402409,"Spacious 1928 Bungalow near Sloan's Lake.",1382900,"Pamela",39.73995,-105.04053,"Entire home/apt",260,3,163,"2024-06-09",1.25,1,97,17,"2021-BFN-0000150"
1581384,"2BR - West Highlands Sweet Retreat!",8410190,"Deanna",39.76779,-105.05005,"Entire home/apt",NA,30,85,"2023-11-12",0.66,6,15,1,""
1583103,"W. Wash Park Artist Bungalow",8428229,"Christina",39.72088,-104.98371,"Entire home/apt",NA,29,46,"2024-05-09",0.65,1,2,6,""
1637744,"Park Hill Denver: Shady Retreat",8697449,"Jennifer",39.74446,-104.91113,"Private room",80,31,38,"2021-11-19",0.35,1,295,0,""
1641476,"Cozy Creole Cottage by Sloan's Lake",8714815,"Allison",39.75459,-105.04991,"Entire home/apt",350,3,74,"2024-06-23",0.9,1,104,22,"2021-BFN-0000429"
1733052,"Beautiful Private Basement Suite near Downtown",2416216,"Jason",39.73799,-104.97219,"Private room",103,1,1529,"2024-06-18",11.72,1,291,123,"2016-BFN-0008749"
1737365,"Stylish & Historic LoHi Loft on Wyandot",3378084,"Alexandra",39.75901,-105.01541,"Entire home/apt",119,29,79,"2024-05-29",0.62,2,240,4,""
1758820,"Denver Washington Park Front Home",3158051,"Maureen",39.70187,-104.96718,"Entire home/apt",NA,29,1,"2022-03-05",0.04,1,0,0,"2021-BFN-0009986"
1785877,"European style pension, Cheesman Park",6674631,"Cynthia",39.7388,-104.96965,"Private room",56,29,173,"2023-09-24",1.33,3,317,2,""
1792152,"Peaceful Retreat in Congress Park",9402581,"Rita",39.73377,-104.94866,"Private room",78,29,255,"2023-12-26",2.03,2,335,1,""
1801950,"Best Location HUGE 1 bedroom loft",9447036,"Zach",39.74569,-104.99202,"Entire home/apt",247,2,361,"2024-06-14",3.06,5,123,57,"2022-BFN-0016801"
1905596,"Charming, cozy, private hideaway",5811115,"Annette",39.77954,-105.03991,"Entire home/apt",110,30,75,"2023-08-31",0.59,5,330,1,""
1908529,"Tennyson Treehouse in Denver",9904510,"Debbie",39.76794,-105.04618,"Entire home/apt",118,3,21,"2024-06-28",5.78,1,170,21,"2024-BFN-0008822"
1959836,"Artist Cottage in Denver",10033473,"Anne",39.76476,-104.95804,"Private room",39,30,296,"2019-11-04",2.31,1,86,0,""
2061222,"Sunny private house with off-street parking",5124037,"Darja",39.74008,-104.91957,"Entire home/apt",109,29,34,"2018-01-01",0.28,3,334,0,"2017-BFN-0000201"
2104774,"Skylight,No car needed,Cozy,quiet,no smoking,CLEAN",4087056,"Jeanne",39.74245,-104.9681,"Entire home/apt",78,30,53,"2024-03-31",0.48,6,319,2,""
2119667,"Architect Owned Unique Retreat in the Art District",10535707,"Nicole",39.73499,-105.00108,"Entire home/apt",258,29,414,"2021-09-04",3.26,1,302,0,""
2139342,"Designer Home Away From Home",10917089,"Jeffrey",39.72112,-104.91342,"Entire home/apt",90,30,160,"2023-10-31",1.26,5,185,2,""
2175370,"PrivateBdrmShareBath*Welcome*Ladies*",9869829,"Barbara",39.6683,-104.96552,"Private room",45,7,69,"2023-02-05",0.55,1,154,0,"2016-BFN-0007416"
2216969,"Modern Studio",10917089,"Jeffrey",39.7212,-104.91337,"Entire home/apt",55,30,161,"2024-06-08",1.52,5,301,5,""
2232323,"Cozy Cottage in the Country Club,",11393480,"Darrow",39.72367,-104.96557,"Entire home/apt",260,7,100,"2024-06-20",0.8,1,343,7,"2017-BFN-0001514"
2235726,"Executive LODO Loft",11414205,"Todd",39.7539280920082,-104.996679845472,"Entire home/apt",250,30,0,"",NA,1,365,0,""
2239191,"Entire Home - Roomy 3BR, Victorian. Near RINO/DWTN",1239512,"Zorab",39.76768,-104.9551,"Entire home/apt",210,3,91,"2024-06-29",0.82,1,335,10,"2017-BFN-0002932"
2243316,"BEST! Location,no smoking,quiet,NoCleaningFee!",4087056,"Jeanne",39.74245,-104.9681,"Entire home/apt",60,29,39,"2024-04-29",0.31,6,332,5,""
2361919,"The Cloisters at Berkeley",5811115,"Annette",39.7796,-105.03859,"Entire home/apt",70,30,49,"2023-12-30",0.39,5,332,2,""
2466830,"HISTORIC COTTAGE IN BONNIE BRAE",6896064,"Greg",39.69062,-104.9548,"Entire home/apt",300,29,11,"2021-05-23",0.11,1,349,0,"2018-BFN-0005028"
2467260,"parkside5280",11000035,"Ryan",39.74241,-104.95097,"Entire home/apt",183,1,591,"2024-06-12",4.78,1,110,42,"2018-BFN-0008030"
2487185,"Beautifully remodeled-Just Minutes from Downtown!",4706233,"Jeffrey",39.7038,-105.0116,"Entire home/apt",189,3,21,"2024-05-27",0.28,2,290,1,"2019-BFN-0011743"
2599115,"Cozy Eastbridge Home walk to everything!",10128382,"Kerry",39.75778,-104.85861,"Entire home/apt",187,2,219,"2024-06-03",1.76,1,298,20,"2017-BFN-0001227"
2817786,"Private Queen Room w Ensuite Bath",14414164,"Mary",39.74687,-104.97561,"Private room",90,30,146,"2023-08-20",1.19,1,0,1,""
2875696,"Cozy condo, 700 sq ft. near Lowry",14699024,"Julie",39.70705,-104.8916,"Entire home/apt",NA,182,14,"2022-09-30",0.11,1,197,0,""
2908978,"Peaceful Queen in Congress Park",9402581,"Rita",39.73396,-104.94702,"Private room",60,29,208,"2023-09-10",1.73,2,361,1,""
2957097,"Close to Downtown - Hot Tub - Beautifully Remodel",4706233,"Jeffrey",39.70304,-105.01177,"Entire home/apt",199,3,187,"2024-06-16",1.53,2,290,17,"2019-BFN-0011743"
2960513,"Historic 1800s townhouse @ downtown by Superhost",2544705,"Gustavo",39.72287,-104.995,"Entire home/apt",77,31,99,"2024-06-15",1.11,1,147,5,"2017-BFN-0000613"
2975710,"Sloan's Lake Highlands Bungalow",15178224,"Jennifer",39.75936,-105.04792,"Entire home/apt",178,30,36,"2024-05-31",0.3,1,211,7,""
3138055,"Classic Home on Capitol Hill",15933305,"Sarah",39.73193,-104.97878,"Entire home/apt",NA,4,31,"2023-09-22",0.43,2,0,2,"2018-BFN-0004864"
3150813,"Modern Urban Oasis in Rino",135470,"Mark",39.77101,-104.96639,"Entire home/apt",426,1,248,"2024-06-02",2.04,1,350,10,"2017-BFN-0001617"
3280778,"Art Deco Boho close to everything!",16581953,"Jeff",39.70719,-105.01878,"Entire home/apt",306,3,55,"2024-06-22",1.73,1,64,21,"2021-BFN-0008876"
3334447,"Gorgeous 2 BR, 2 BA Townhome!",16835411,"Sarah",39.75049,-104.97555,"Entire home/apt",NA,3,168,"2024-01-01",1.38,1,0,14,"2019-BFN-0011425"
3338717,"Private basement apartment on park.",16853725,"Nanci",39.67652,-104.97801,"Entire home/apt",97,2,218,"2024-06-24",1.79,1,305,42,"2016-BFN-0007960"
3341556,"1BD City Park Carriage House",16865529,"Lori",39.74972,-104.97222,"Entire home/apt",101,30,33,"2024-03-23",0.28,2,249,4,""
3404692,"Modern 3bd/3bath Home, walk to RiNo Arts District",180156649,"Jacob",39.7574,-104.96713,"Entire home/apt",194,1,294,"2024-06-27",2.43,1,32,76,"2022-BFN-0007379"
3458369,"Carriage House-Highlands Square",12969161,"Jamie",39.76178,-105.03885,"Entire home/apt",115,30,255,"2021-05-08",2.1,1,86,0,""
3463164,"CountryClub home, Quiet, Safe, Gated, Exclusive",10105976,"Mike And Molly",39.64468,-105.0653,"Private room",84,29,11,"2019-05-17",0.1,1,87,0,""
3479122,"Unique 3-Level Loft in Famous Ballpark Neighborhood",17524202,"Sam",39.75469,-104.98785,"Entire home/apt",114,30,480,"2020-06-02",3.95,2,180,0,""
3542624,"Mod Downtown Perfection, 3BD w/ Patio, Fast WIFI",17833434,"Clayton",39.73248,-104.99906,"Entire home/apt",211,2,152,"2024-06-15",1.27,1,296,26,"2020-BFN-0001541"
3562277,"Newly remodeled ground level basement 3 BR",17831791,"Michelle",39.6631,-104.96774,"Private room",NA,31,10,"2020-08-16",0.08,1,364,0,""
3605358,"Historic Mansion - Room and Bath",18168193,"Georgia",39.73308,-104.97996,"Private room",115,2,247,"2024-06-25",2.04,1,330,26,"2019-BFN-0009791"
3685552,"SkyView Loft, in Healing Center ~ 30 DAYS OR MORE",1313972,"Heather",39.74172,-104.95845,"Entire home/apt",89,30,108,"2024-05-07",0.91,2,241,2,""
3810191,"Charming Bungalow in the Highlands",7879432,"Cathy",39.77321,-105.02888,"Entire home/apt",109,3,48,"2024-06-13",0.4,2,7,3,"2022-BFN-0010747"
3829793,"Modern 1 Bed / 1 Bath Apartment in Uptown",2537989,"Kristin",39.74367,-104.97908,"Entire home/apt",103,60,11,"2023-11-27",0.09,1,322,2,""
3891080,"Charming vintage Five Points apt",20134025,"Kelly",39.75229,-104.97978,"Entire home/apt",110,2,62,"2024-06-25",3.82,1,10,33,"2022-BFN-0020462"
3960763,"Relax in Denver's Best Neighborhood Platt Park!",20525963,"Julie",39.68769,-104.98715,"Entire home/apt",149,2,29,"2023-07-23",0.24,1,19,1,"2023-BFN-0013155"
4000181,"Beautiful 2bed/1 bath Loft in Downtown Denver",20739244,"Mark + Shahana",39.760994,-104.996796,"Entire home/apt",123,29,21,"2024-06-01",0.18,2,323,2,""
4052272,"The Spectrum Inn",18930052,"Nikki & James",39.76146,-104.9503,"Entire home/apt",105,30,170,"2022-08-29",1.44,1,29,0,"2017-BFN-0001623"
4080404,"Relax on City Park + Barrel Steam Sauna + Hot Tub",11706428,"Aaron",39.75546,-104.95573,"Entire home/apt",160,2,274,"2024-06-09",4.45,1,153,43,"2019-BFN-0008252"
4135913,"2 Cozy Rooms in Beautiful Shared Home near DIA",21456101,"Jeff",39.8175084780673,-104.764677654198,"Private room",NA,1,19,"2023-11-19",1.65,1,0,19,"2023-BFN-0020012"
4137490,"40th Floor with Endless Mountain & City Views",860762,"Corey & Heidi",39.74458,-104.99588,"Entire home/apt",205,30,12,"2022-08-07",0.17,1,0,0,""
4180622,"Modern Guest House in Berkeley Lake",5416557,"Maureen",39.77658,-105.04629,"Entire home/apt",150,30,239,"2021-11-15",2.06,1,66,0,""
4191778,"Cozy apt in historic bungalow",17347654,"Erin",39.7191,-104.99429,"Entire home/apt",87,2,164,"2024-06-08",1.38,1,320,12,"2021-BFN-0009686"
4224189,"Cozy Studio In the ❤️ of Denver",11902043,"Lauren",39.72449,-104.99843,"Private room",200,29,34,"2018-04-09",0.41,2,44,0,""
4236002,"Modern Historic Denver Carriage House with Hot tub",21982508,"Jb",39.7524,-104.92175,"Entire home/apt",127,2,603,"2024-06-28",5.11,1,140,67,"2017-BFN-0008411"
4241536,"Cozy-Cool Highlands Cottage",22009424,"Carlos",39.76387,-105.03138,"Entire home/apt",101,30,33,"2024-03-31",0.28,1,322,3,""
4267851,"Spacious, bright, near parks, cafe, mkt, zoo, msm",22155542,"Ben",39.74967,-104.93296,"Entire home/apt",NA,7,22,"2023-07-15",0.19,1,3,1,"2016-BFN-0007280"
4294257,"Full of Character AND Comfortable !",22292048,"Travis",39.7388482571834,-104.949571507518,"Entire home/apt",116,1,594,"2024-06-21",5.04,1,99,65,"2016-BFN-0008410"
4350594,"Kid Friendly Home-Great Location with Sauna",245393,"Melissa",39.72904,-104.92346,"Entire home/apt",175,29,10,"2021-08-01",0.09,1,287,0,"2020-BFN-0004676"
4384783,"Sunny Condo! Close To Downtown!",9597571,"Jon & Irene",39.73116,-104.93282,"Entire home/apt",85,29,36,"2024-05-05",0.33,1,141,3,""
4416289,"CHERRY CREEK NORTH! Long-Term Only (30+Days)",22922907,"David",39.72322,-104.95696,"Entire home/apt",132,30,12,"2022-09-10",0.1,1,294,0,""
4545539,"Updated Downtown Apartment in Baker with Off-Street Parking",23466084,"Tyler",39.71749,-104.99085,"Entire home/apt",122,1,502,"2024-06-25",4.3,1,151,57,"2017-BFN-0001958"
4556950,"☀░ Downtown High Rise SPIRE - Furnished 1br ☀",23623049,"Scott",39.74563,-104.99452,"Entire home/apt",75,60,5,"2023-09-30",0.07,1,226,1,""
4556956,"Exceptional Loft Living",7447790,"Rick/Ali",39.75695,-105.00419,"Entire home/apt",130,30,1,"2021-07-02",0.03,1,236,0,""
4574082,"Entire cozy house, 5 rooms/PET friendly!",8264792,"Sheila",39.72216,-104.90396,"Entire home/apt",241,3,171,"2024-06-09",1.48,1,283,7,"2017-BFN-0007462"
4581251,"Cozy Cap Hill condo *min 30 day or longer stay",23747225,"Lacey",39.73483,-104.9757,"Entire home/apt",68,30,29,"2024-05-22",0.27,1,81,4,""
4617226,"Warm & inviting home in a great location - 2B/2B",3807039,"Josh",39.70648,-104.9293,"Private room",146,2,100,"2024-06-23",1.87,2,45,17,"2019-BFN-0010723"
4637460,"Charming Victorian in Curtis Park",10843433,"Edric",39.75415,-104.98173,"Entire home/apt",178,3,67,"2024-05-13",0.58,1,104,15,"2017-BFN-0002639"
4638352,"Cozy Studio in Denver's BEST Neighborhood Berkeley",11850286,"Portia",39.76902,-105.04846,"Entire home/apt",105,2,498,"2024-06-22",4.39,1,183,61,"2016-BFN-0007165"
4671545,"WIN! Best location,Quiet*Balcony,nosmoking,CLEAN!",4087056,"Jeanne",39.74245,-104.9681,"Entire home/apt",61,30,46,"2024-05-21",0.41,6,333,3,""
4692668,"House in front of Washington Park",24260044,"Patricio",39.70212,-104.97209,"Entire home/apt",261,2,57,"2024-06-10",1.77,1,18,27,"2021-BFN-0008287"
4727890,"Denver's Santa Fe Arts District",5910663,"Tony",39.72644,-104.9963,"Entire home/apt",100,30,73,"2022-07-12",0.64,2,236,0,""
4775222,"RiNo Art, King tempurpedic, yard, 95 walk score",6433351,"Kevin",39.76312,-104.979,"Entire home/apt",273,2,124,"2024-06-25",1.32,1,114,17,"2022-BFN-0005021"
4856179,"3BR with En-Suites",24981544,"Michael",39.7352400806424,-105.036697023825,"Entire home/apt",190,30,0,"",NA,2,87,0,""
4951295,"Urban Nest in heart of Denver",34955862,"Scott",39.74205,-104.96191,"Entire home/apt",218,2,391,"2024-06-23",3.66,36,338,46,"2017-BFN-0001694"
4964614,"Historic Capitol Hill Mansion",25591329,"Linda",39.73377,-104.9807,"Private room",119,2,286,"2024-06-08",2.53,1,324,30,"2017-BFN-0000290"
5010213,"Downtown Denver Union Station LoDo Loft Retreat",4252297,"Andrea",39.75351,-105.0037,"Entire home/apt",122,29,153,"2023-12-17",1.35,1,139,1,""
5184333,"2 bedroom 2 baths  Mt Views sleeps 4",10751081,"Beatrice (Bia)",39.73579,-104.98047,"Entire home/apt",99,60,14,"2022-08-13",0.13,2,318,0,""
5364164,"*Monthly Rental* 1-Bedroom 1-Bathroom Condo",27807630,"Kyle",39.69713,-104.92667,"Entire home/apt",104,29,3,"2024-05-31",0.98,1,257,3,""
5379218,"Large  Queen size Bedroom Denver DTC  I-25 / I-225",5852906,"Dr. Faye",39.64721,-104.8867,"Private room",57,29,37,"2024-05-30",0.38,2,329,1,"2018-BFN-0008538"
5414477,"Bright Cap Hill Apt w/parking and free laundry.",28067552,"Matt",39.73679,-104.97994,"Entire home/apt",NA,95,46,"2024-03-17",0.41,1,1,2,""
5508545,"Cozy 1BD-parking, yard, laundry",5124037,"Darja",39.73839,-104.91961,"Entire home/apt",115,29,257,"2023-01-09",2.3,3,288,0,"2017-BFN-0000201"
5531293,"The Garden Suite",5811115,"Annette",39.78164,-105.038,"Entire home/apt",91,30,31,"2023-05-14",0.28,5,333,0,""
5536068,"Downtown Denver Great Price, Best Location",28706795,"Bryan",39.74815,-104.99489,"Entire home/apt",65,30,15,"2024-05-08",0.13,1,212,4,""
5558992,"Cozy Carriage Home Sante Fe Style!",26125748,"Edwin",39.72979,-104.99557,"Entire home/apt",NA,29,160,"2024-05-31",1.66,1,49,2,"2019-BFN-0001582"
5600653,"Spacious, Sunny, Private Balcony! Brooks Tower 5N",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",78,30,3,"2023-09-01",0.03,19,30,1,""
5600766,"Private balcony w/downtown view! Brooks Tower 6G",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",78,30,4,"2020-10-07",0.04,19,29,0,""
5685878,"Historic Condo, Excellent Amenities",21064478,"Luke",39.74535,-104.97623,"Entire home/apt",83,31,83,"2024-06-11",0.75,1,177,1,""
5691532,"Downtown Apt - Amazing City View! Brooks Tower 6I",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",71,30,7,"2019-07-21",0.07,19,233,0,""
5691878,"Urban Studio Life! Brooks Tower 5F",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",62,30,13,"2023-10-01",0.12,19,39,2,""
5716391,"2x2 with a View! Brooks Tower 6J",6658113,"Alex",39.74651,-104.99634,"Entire home/apt",98,30,2,"2021-06-22",0.02,19,33,0,""
5746214,"Private Suite on Beautiful Wooded Street",16611775,"Megan",39.7483,-104.91471,"Private room",73,2,205,"2023-11-22",2.84,1,128,13,"2018-BFN-0007525"
5794938,"★ Penthouse ★Balcony★ Chef's Kitch ★ Garage",19065685,"Allan",39.74326,-104.98088,"Entire home/apt",139,29,632,"2024-06-26",5.64,1,150,84,"2019-BFN-0004106"
5931452,"Downtown Life w/Balcony! Brooks Tower 5K",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",68,30,5,"2023-09-03",0.05,19,46,1,""
5955475,"2x2 with Private Outdoor Space! Brooks Tower 5L",6658113,"Alex",39.74634,-104.99678,"Entire home/apt",110,30,7,"2023-09-29",0.06,19,44,2,""
5966633,"Lovely West Wash Park Guest House",30972487,"Sabrina",39.71396,-104.97608,"Entire home/apt",132,1,429,"2024-06-27",4.81,2,337,52,"2017-BFN-0001904"
5968656,"Denver Highlands - Mini Mansion: A+ Location",30983019,"Justin",39.76336,-105.02808,"Entire home/apt",528,3,246,"2024-06-09",2.33,1,313,22,"2021-BFN-0000813"
6044888,"Centrally Located and Easy Access",31372083,"Denise",39.66293,-105.05011,"Private room",30,29,123,"2022-11-17",1.25,1,117,0,"2020-BFN-0002216"
6065081,"610 sq ft Condo on South Broadway",31481199,"Dan",39.71913,-104.982,"Entire home/apt",NA,29,68,"2021-09-10",0.61,1,334,0,""
6141491,"Cherry Creek area. Updated 5 bedroom, 3 bathroom.",31858502,"Brian",39.6992,-104.92515,"Entire home/apt",149,29,146,"2024-04-10",1.31,3,291,3,""
6300806,"Upstairs of Charming cottage style (1 of 2 bdrms)",32766212,"John",39.76558,-104.96109,"Private room",65,29,93,"2022-05-05",1.08,2,364,0,"2017-BFN-0001273"
6333040,"Historic Carriage House in Denver's Oldest Neighborhood",32967501,"Mick",39.76154,-104.9741,"Entire home/apt",166,1,1008,"2024-06-27",9.12,1,259,136,"2023-BFN-0014894"
6348993,"Cozy, Private, Spacious Bedroom and Bathroom",28359129,"Matt & Vicki",39.77037,-105.0135,"Private room",68,1,685,"2024-06-26",6.23,1,35,80,"2021-BFN-0002848"
6349335,"Rock House in Berkeley neighborhood of Denver",29472916,"Kevin",39.78471,-105.0361,"Entire home/apt",260,3,156,"2024-06-19",1.43,1,281,35,"2017-BFN-0000889"
